Date,avg_deforestation,avg_air_pollution,avg_water_quality_B3,avg_water_quality_B4,avg_water_quality_B5,environmental_deviation_score,avg_deforestation_normalized,avg_air_pollution_normalized,avg_water_quality_B3_normalized,avg_water_quality_B4_normalized,avg_water_quality_B5_normalized,Env_Score_Norm
2018-01-07,,,17258.98995784678,17122.071820536177,21323.198948866728,,,,0.2520433256674354,0.24614745685391068,0.3602195558620663,0.2861367794611374
2018-01-07,,,32898.051537908446,32820.944248546504,33291.35460703921,,,,0.6164487158913774,0.6177821723639345,0.6629188739176965,0.6323832540576695
2018-01-07,,,29217.64186115432,29164.09662052342,28798.712142374963,,,,0.530691580300108,0.5312147112844317,0.5492906884927343,0.5370656600257581
2018-01-07,,,23871.69418102457,23932.42595906645,24842.679612620468,,,,0.4061257845506947,0.40736693515729516,0.44923447405464184,0.4209090645875439
2018-01-07,,,17837.851459303754,18002.94764494084,21557.07791516144,,,,0.2655313633124163,0.26700016700258306,0.366134836848291,0.2995554557210968
2018-01-07,,,12024.89547883164,11897.367434989936,13007.660446623304,,,,0.13008381861324222,0.12246459129459489,0.14990245222583407,0.1341502873778904
2018-01-07,,,21828.73459568898,21830.3955874867,21997.95288723755,,,,0.358522833370102,0.35760619834528967,0.3772854733546022,0.364471501689998
2018-01-07,,,18481.68316154594,18486.109255082916,19874.67655830628,,,,0.28053327001206263,0.2784379074106229,0.3235834397942116,0.2941848724056324
2018-01-07,,,11596.008525274634,11670.865499390566,13207.478176147391,,,,0.12009033422974494,0.11710267866138228,0.15495625434788982,0.13071642241300566
2018-01-07,,,9894.853026957357,10413.905426915331,12826.294454449944,,,,0.08045175169572388,0.0873470384978042,0.14531533256284151,0.10437137425212321
2018-01-09,,,6442.132697491189,7516.405556707444,9549.790586771718,,,,0.0,0.018755389964259562,0.062445798218543104,0.02706706272760089
2018-01-14,,,17032.381390756702,17157.338177172212,21096.07220115759,,,,0.24676312500476733,0.24698230677549637,0.35447505239742405,0.2827401613925626
2018-01-16,,,37822.26497605401,37286.07863704168,35510.89446494464,,,,0.7311876924141834,0.7234839643742758,0.7190556104854974,0.7245757557579854
2018-01-16,,,22165.98668158741,22116.16578069151,23799.34688008408,,,,0.3663811359502476,0.364371150728967,0.422846439367925,0.3845329086823799
2018-01-16,,,19261.473503936348,19104.27054853851,19134.742605286658,,,,0.2987031456505034,0.293071454978204,0.30486898542192886,0.2988811953502121
2018-01-16,,,10887.6198337511,10756.405486368383,11037.482782767576,,,,0.10358418670654787,0.0954549400519245,0.10007259937876405,0.09970390871241214
2018-01-16,,,15267.218510053775,15227.051874593144,17336.03185731141,,,,0.20563310802398943,0.20128721598464866,0.25937588420046803,0.22209873606970207
2018-01-16,,,8051.011971004736,7805.34926535335,7882.196773828746,,,,0.0374884564835638,0.025595468030595068,0.020268914462278114,0.02778427965881233
2018-01-16,,,7520.785511885399,7270.707453662405,7292.043264942013,,,,0.025133662766990993,0.012939052195721615,0.005342716158183758,0.014471810373632122
2018-01-23,,,29838.224298336,29639.15137566328,30476.941766547923,,,,0.545151756444924,0.5424605405366705,0.5917365738310507,0.5597829569375484
2018-01-23,,,10718.756336409451,10922.169518477933,15157.760891208996,,,,0.09964950249750211,0.099379022446843,0.20428292294462633,0.1344371492963238
2018-01-23,,,8748.27352476755,8518.575878402751,9816.102813239797,,,,0.05373533084276615,0.04247946849943546,0.06918138318619996,0.05513206084280053
2018-01-23,,,11600.368491601514,11386.774011410813,12958.103974273026,,,,0.12019192569817008,0.1103774657648306,0.14864906692453006,0.12640615279584358
2018-01-23,,,14035.536500261478,14029.768712390383,17213.133193003367,,,,0.17693371572909694,0.17294428948399948,0.2562675237363735,0.20204850964982332
2018-01-23,,,10055.639852198718,9898.41626293056,10330.249969758834,,,,0.08419824156629552,0.07514401756846853,0.08218522422099467,0.08050916111858623
2018-01-23,,,10621.694614337845,10507.652842624351,10843.735482811016,,,,0.09738786969260256,0.08956629305424353,0.09517233092913681,0.09404216455866098
2018-01-23,,,13903.436659112313,13821.592091143297,14599.742390856847,,,,0.1738556605711165,0.16801618654107975,0.190169485223445,0.17734711077854706
2018-01-23,,,14844.260304664233,14781.316625857751,15008.421006799796,,,,0.19577776925609983,0.19073545864563052,0.20050580953966293,0.19567301248046443
2018-01-23,,,8974.293851804408,9246.447073025316,10409.424874736042,,,,0.059001824938384684,0.059710145771445206,0.08418772071487632,0.06763323047490206
2018-01-25,,,7664.440531177829,7306.59151270208,7192.6486720554285,,,,0.028480964847419254,0.013788524801713397,0.002828822092589677,0.015032770580574109
2018-01-25,,,7776.562074320451,7454.966593299102,7526.287173342475,,,,0.031093506173651215,0.01730096374402027,0.011267227282258886,0.019887232399976792
2018-01-25,,,15339.305999379772,15322.929453243074,19406.220411914142,,,,0.2073128168443444,0.20355689725180656,0.3117352185559593,0.24086831088403673
2018-01-25,,,21914.89882750125,21977.321497677745,22663.68504315281,,,,0.3605305440218029,0.36108433150964847,0.39412321137864337,0.3719126956366982
2018-02-01,,,33497.19893617018,33434.43111426289,32530.806713455248,,,,0.630409434720158,0.6323050636005594,0.6436830505116642,0.6354658496107939
2018-02-01,,,10233.716630653278,9966.695544329315,10311.7764027041,,,,0.08834760421253561,0.0767603725923224,0.0817179896437351,0.08227532214953104
2018-02-01,,,22635.958109731066,22585.799302609794,23794.712821136036,,,,0.37733192866821563,0.3754886447472423,0.422729234468234,0.39184993596123063
2018-02-01,,,8870.093904360085,8660.090701187817,9406.764304902856,,,,0.056573864519188395,0.04582950660869124,0.05882836883157038,0.05374391331981668
