Ticker,Company,Currency,Exchange,industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation,twitter_esg_sentiment,Sentiment Score,dominant_topic,topic_esg_impact,Date,avg_deforestation,avg_air_pollution,avg_water_quality_B3,avg_water_quality_B4,avg_water_quality_B5,environmental_deviation_score,avg_deforestation_normalized,avg_air_pollution_normalized,avg_water_quality_B3_normalized,avg_water_quality_B4_normalized,avg_water_quality_B5_normalized
bxp,Boston Properties Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,A,High,BB,Medium,BB,Medium,532.0,339.0,305.0,1176.0,BBB,High,392.0,Low Risk,0.6396917148362236,0.3530571992110454,0.5750000000000001,0.6153846153846155,995.9444444444443,180.05555555555554,0.2401749999999999,,,,,,,,,,,,,,,
sivb,SVB Financial Group,USD,NASDAQ NMS - GLOBAL MARKET,Banking,A,High,BB,Medium,BB,Medium,510.0,340.0,300.0,1150.0,BBB,High,383.3333333333333,Low Risk,0.5973025048169556,0.3550295857988165,0.5625,0.5876068376068376,898.3103448275862,251.68965517241384,,,,,,,,,,,,,,,,
c,Citigroup Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,A,High,BB,Medium,BB,Medium,515.0,300.0,303.0,1118.0,BBB,High,372.6666666666667,Medium Risk,0.6069364161849711,0.2761341222879684,0.5700000000000001,0.5534188034188036,898.3103448275862,219.68965517241384,,,,,,,,,,,,,,,,
cat,Caterpillar Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Machinery,B,Medium,B,Medium,B,Medium,235.0,239.0,235.0,709.0,B,Medium,236.33333333333337,High Risk,0.0674373795761079,0.155818540433925,0.4,0.1164529914529914,1048.047619047619,-339.04761904761904,,,,,,,,,,,,,,,,
carr,Carrier Global Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,B,Medium,B,Medium,B,Medium,210.0,258.0,226.0,694.0,B,Medium,231.33333333333337,High Risk,0.0192678227360308,0.1932938856015779,0.3775,0.1004273504273504,1074.2,-380.2000000000001,0.6278666666666667,,,,,,,,,,,,,,,
cbre,CBRE Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,B,Medium,B,Medium,B,Medium,200.0,209.0,200.0,609.0,B,Medium,203.0,High Risk,0.0,0.0966469428007889,0.3125,0.0096153846153845,995.9444444444443,-386.94444444444446,0.2401749999999999,,,,2019-01-09,,-2.4116277838692253e-05,,,,,,0.0,,,
cbre,CBRE Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,B,Medium,B,Medium,B,Medium,200.0,209.0,200.0,609.0,B,Medium,203.0,High Risk,0.0,0.0966469428007889,0.3125,0.0096153846153845,995.9444444444443,-386.94444444444446,0.2401749999999999,,,,2022-03-06,22.42469594884984,,,,,,0.0,,,,
cci,Crown Castle Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,A,High,BB,Medium,B,Medium,500.0,300.0,200.0,1000.0,BBB,High,333.3333333333333,Medium Risk,0.5780346820809248,0.2761341222879684,0.3125,0.4273504273504275,995.9444444444443,4.055555555555543,0.2401749999999999,,,,,,,,,,,,,,,
cday,Ceridian HCM Holding Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,A,High,BB,Medium,BB,Medium,530.0,379.0,320.0,1229.0,A,High,409.6666666666667,Low Risk,0.6358381502890174,0.4319526627218935,0.6125,0.6720085470085472,1031.3174603174602,197.68253968253975,0.25,,,,,,,,,,,,,,,
cma,Comerica Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,B,Medium,BB,Medium,B,Medium,280.0,300.0,230.0,810.0,BB,Medium,270.0,High Risk,0.1541425818882466,0.2761341222879684,0.3875,0.2243589743589743,898.3103448275862,-88.31034482758616,,,,,,,,,,,,,,,,
