Ticker,Company,Currency,Exchange,Industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation
abmd,ABIOMED Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,A,High,BB,Medium,BB,Medium,500.0,324.0,305.0,1129.0,BBB,High,376.3333333333333,Low Risk,0.5780346820809248,0.32347140039447736,0.5750000000000001,0.5651709401709403,938.7647058823529,190.23529411764707
abos,Acumen Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,205.0,201.0,200.0,606.0,B,Medium,202.0,High Risk,0.009633911368015391,0.08086785009861935,0.3125,0.0064102564102563875,866.9107142857143,-260.91071428571433
absi,Absci Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,B,Medium,B,Medium,205.0,224.0,230.0,659.0,B,Medium,219.66666666666666,High Risk,0.009633911368015391,0.12623274161735704,0.38750000000000007,0.06303418803418803,993.125,-334.125
abtx,Allegiance Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,BB,Medium,BB,Medium,298.0,300.0,300.0,898.0,BB,Medium,299.3333333333333,Medium Risk,0.18882466281310212,0.27613412228796846,0.5625,0.31837606837606847,898.3103448275862,-0.3103448275861638
abus,Arbutus Biopharma Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,203.0,204.0,338.0,745.0,B,Medium,248.33333333333334,High Risk,0.005780346820809246,0.08678500986193294,0.6575,0.15491452991452992,866.9107142857143,-121.91071428571433
abvc,ABVC Biopharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,220.0,212.0,205.0,637.0,B,Medium,212.33333333333334,High Risk,0.03853564547206162,0.10256410256410259,0.32499999999999996,0.0395299145299145,866.9107142857143,-229.91071428571433
acad,ACADIA Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,230.0,230.0,305.0,765.0,BB,Medium,255.0,High Risk,0.05780346820809246,0.13806706114398426,0.5750000000000001,0.17628205128205132,866.9107142857143,-101.91071428571433
acac,Acri Capital Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,BB,Medium,200.0,205.0,300.0,705.0,B,Medium,235.0,High Risk,0.0,0.08875739644970415,0.5625,0.11217948717948723,709.3076923076923,-4.307692307692264
accd,Accolade Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,255.0,254.0,235.0,744.0,B,Medium,248.0,High Risk,0.10597302504816952,0.1854043392504931,0.4,0.15384615384615385,938.7647058823529,-194.76470588235293
acet,Adicet Bio Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,215.0,211.0,305.0,731.0,B,Medium,243.66666666666666,High Risk,0.02890173410404623,0.10059171597633138,0.5750000000000001,0.13995726495726502,866.9107142857143,-135.91071428571433
abcl,Abcellera Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,BB,Medium,BB,Medium,540.0,354.0,345.0,1239.0,A,High,413.0,Low Risk,0.6551059730250481,0.3826429980276134,0.675,0.6826923076923078,993.125,245.875
abcb,Ameris Bancorp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,BB,Medium,B,Medium,290.0,300.0,250.0,840.0,BB,Medium,280.0,High Risk,0.17341040462427743,0.27613412228796846,0.4375,0.2564102564102565,898.3103448275862,-58.310344827586164
acev,ACE Convergence Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,Unknown,B,Medium,B,Medium,B,Medium,225.0,211.0,215.0,651.0,B,Medium,217.0,High Risk,0.048169556840077066,0.10059171597633138,0.35,0.054487179487179516,709.3076923076923,-58.307692307692264
achl,Achilles Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,B,Medium,230.0,288.0,285.0,803.0,BB,Medium,267.6666666666667,High Risk,0.05780346820809246,0.252465483234714,0.525,0.2168803418803419,866.9107142857143,-63.910714285714334
achc,Acadia Healthcare Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,BB,Medium,B,Medium,B,Medium,330.0,231.0,220.0,781.0,BB,Medium,260.3333333333333,High Risk,0.2504816955684008,0.14003944773175542,0.36250000000000004,0.19337606837606836,938.7647058823529,-157.76470588235293
aciw,ACI Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,500.0,327.0,300.0,1127.0,BBB,High,375.6666666666667,Low Risk,0.5780346820809248,0.329388560157791,0.5625,0.5630341880341881,1031.3174603174602,95.68253968253975
acls,Axcelis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,515.0,306.0,260.0,1081.0,BBB,High,360.3333333333333,Medium Risk,0.6069364161849711,0.28796844181459574,0.4625,0.513888888888889,1030.5833333333333,50.41666666666674
aciu,AC Immune SA,CHF,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,250.0,296.0,305.0,851.0,BB,Medium,283.6666666666667,Medium Risk,0.09633911368015413,0.2682445759368836,0.5750000000000001,0.2681623931623932,866.9107142857143,-15.910714285714334
achv,Achieve Life Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,215.0,222.0,305.0,742.0,B,Medium,247.33333333333334,High Risk,0.02890173410404623,0.12228796844181461,0.5750000000000001,0.15170940170940173,866.9107142857143,-124.91071428571433
acmr,ACM Research Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BBB,High,B,Medium,BB,Medium,410.0,232.0,325.0,967.0,BBB,High,322.3333333333333,Medium Risk,0.40462427745664736,0.14201183431952663,0.625,0.39209401709401714,1030.5833333333333,-63.58333333333326
acor,Acorda Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,230.0,307.0,310.0,847.0,BB,Medium,282.3333333333333,Medium Risk,0.05780346820809246,0.28994082840236685,0.5875,0.26388888888888895,866.9107142857143,-19.910714285714334
acnb,ACNB Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,220.0,219.0,215.0,654.0,B,Medium,218.0,High Risk,0.03853564547206162,0.11637080867850103,0.35,0.05769230769230771,898.3103448275862,-244.31034482758616
acrs,Aclaris Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,230.0,207.0,220.0,657.0,B,Medium,219.0,High Risk,0.05780346820809246,0.09270216962524658,0.36250000000000004,0.0608974358974359,903.6666666666666,-246.66666666666663
acrx,AcelRx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,200.0,237.0,300.0,737.0,B,Medium,245.66666666666666,High Risk,0.0,0.15187376725838264,0.5625,0.1463675213675214,903.6666666666666,-166.66666666666663
act,Enact Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,A,High,BB,Medium,BB,Medium,540.0,328.0,315.0,1183.0,BBB,High,394.3333333333333,Low Risk,0.6551059730250481,0.3313609467455622,0.6,0.622863247863248,909.3333333333334,273.66666666666663
actg,Acacia Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,200.0,200.0,275.0,675.0,B,Medium,225.0,High Risk,0.0,0.07889546351084814,0.5,0.08012820512820518,909.3333333333334,-234.33333333333337
acva,ACV Auctions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,B,Medium,B,Medium,BB,Medium,235.0,262.0,315.0,812.0,BB,Medium,270.6666666666667,High Risk,0.0674373795761079,0.2011834319526627,0.6,0.22649572649572658,995.8571428571429,-183.8571428571429
adag,Adagene Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,295.0,301.0,305.0,901.0,BBB,High,300.3333333333333,Medium Risk,0.18304431599229282,0.2781065088757397,0.5750000000000001,0.32158119658119666,866.9107142857143,34.089285714285666
acxp,Acurx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,235.0,301.0,305.0,841.0,BB,Medium,280.3333333333333,High Risk,0.0674373795761079,0.2781065088757397,0.5750000000000001,0.25747863247863256,866.9107142857143,-25.910714285714334
adbe,Adobe Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,B,Medium,B,Medium,200.0,221.0,200.0,621.0,B,Medium,207.0,High Risk,0.0,0.1203155818540434,0.3125,0.022435897435897467,1031.3174603174602,-410.31746031746025
