Date,Deforestation (Percent_Tree_Cover),Air Pollution (NO2) (tropospheric_NO2_column_number_density),Water Quality (SR_B3),Water Quality (SR_B4),Water Quality (SR_B5)
2018-01-07,,,17258.98995784678,17122.071820536177,21323.198948866728
2018-01-07,,,32898.051537908446,32820.944248546504,33291.35460703921
2018-01-07,,,29217.64186115432,29164.09662052342,28798.712142374963
2018-01-07,,,23871.69418102457,23932.42595906645,24842.679612620468
2018-01-07,,,17837.851459303754,18002.94764494084,21557.07791516144
2018-01-07,,,12024.89547883164,11897.367434989937,13007.660446623304
2018-01-07,,,21828.73459568898,21830.3955874867,21997.95288723755
2018-01-07,,,18481.68316154594,18486.109255082916,19874.67655830628
2018-01-07,,,11596.008525274634,11670.865499390566,13207.478176147391
2018-01-07,,,9894.853026957357,10413.905426915333,12826.294454449944
2018-01-09,,,6442.132697491189,7516.405556707444,9549.790586771718
2018-01-14,,,17032.381390756702,17157.338177172212,21096.07220115759
2018-01-16,,,37822.26497605401,37286.07863704168,35510.89446494464
2018-01-16,,,22165.98668158741,22116.16578069151,23799.346880084082
2018-01-16,,,19261.473503936348,19104.27054853851,19134.742605286658
2018-01-16,,,10887.6198337511,10756.405486368383,11037.482782767576
2018-01-16,,,15267.218510053775,15227.051874593144,17336.03185731141
2018-01-16,,,8051.011971004736,7805.34926535335,7882.196773828746
2018-01-16,,,7520.785511885399,7270.707453662405,7292.043264942013
2018-01-23,,,29838.224298336,29639.15137566328,30476.941766547923
2018-01-23,,,10718.756336409453,10922.169518477931,15157.760891208996
2018-01-23,,,8748.27352476755,8518.575878402751,9816.102813239797
2018-01-23,,,11600.368491601514,11386.774011410813,12958.103974273026
2018-01-23,,,14035.536500261478,14029.768712390383,17213.133193003367
2018-01-23,,,10055.639852198718,9898.41626293056,10330.249969758834
2018-01-23,,,10621.694614337843,10507.652842624351,10843.735482811015
2018-01-23,,,13903.436659112313,13821.592091143295,14599.742390856847
2018-01-23,,,14844.260304664233,14781.316625857753,15008.421006799797
2018-01-23,,,8974.293851804408,9246.447073025316,10409.424874736042
2018-01-25,,,7664.440531177829,7306.59151270208,7192.6486720554285
2018-01-25,,,7776.562074320451,7454.966593299102,7526.2871733424745
2018-01-25,,,15339.305999379772,15322.929453243074,19406.220411914142
2018-01-25,,,21914.89882750125,21977.321497677745,22663.68504315281
2018-02-01,,,33497.19893617018,33434.43111426289,32530.806713455248
2018-02-01,,,10233.716630653278,9966.695544329315,10311.7764027041
2018-02-01,,,22635.958109731066,22585.799302609794,23794.712821136036
2018-02-01,,,8870.093904360085,8660.090701187817,9406.764304902856
2018-02-01,,,13084.280117607057,13131.175723172766,16508.59163141797
2018-02-01,,,11015.663533550418,11069.64425679452,12238.181876901703
2018-02-01,,,12030.085741587325,12294.015248645032,13607.486355512687
2018-02-08,,,11641.306748285451,11282.446512825361,12757.02295792165
2018-02-08,,,17457.6539917013,17507.571508919853,20477.287196401365
2018-02-08,,,14356.737428769035,14304.795064541615,14557.138631446747
2018-02-08,,,9152.873070458707,9005.257526750054,9429.443582983908
2018-02-08,,,9514.571664479188,9323.830319101442,10414.904719024415
2018-02-08,,,8011.059751226058,7830.538442848629,8230.331669981337
2018-02-08,,,9512.981399371187,9771.838771621226,11024.643972919905
2018-02-15,,,15833.116903826625,15953.697773592052,19926.042965646408
2018-02-17,,,8182.080325785198,7688.908352008569,8564.466568552034
2018-02-17,,,8294.555782120466,7776.480014359359,8019.823124106105
2018-02-17,,,10473.849457336672,10339.657659801998,14572.07550562312
2018-02-17,,,8338.6803224333,8072.0849937746425,9658.373475660086
2018-02-17,,,8230.96042313309,7975.927178959639,8724.093957492309
2018-02-17,,,10740.607129202512,10648.717068927124,14786.837183860483
2018-02-24,,,18366.59732368309,18481.828333716014,22313.7083322087
2018-02-24,,,32090.936413784962,31870.64329919336,32294.263567332113
2018-02-24,,,34126.8759118886,33939.629780629984,34002.39760696434
2018-02-24,,,13087.074774646138,12979.705484231568,14282.53574411723
2018-02-24,,,24439.371110877346,24248.530745254404,24338.431734861137
2018-02-24,,,8327.560232777952,8140.060102969287,8530.857530497167
2018-02-24,,,10374.422288230297,10196.671229552841,11079.85042350768
2018-02-24,,,8662.369184074108,8594.848602085416,9126.870537565235
2018-02-24,,,8700.598134009373,8928.856299560763,9990.518637797366
2018-02-26,,,22802.636502028814,22694.051838695847,25664.184561869744
2018-02-26,,,17356.29450104547,17236.353630458518,17772.286125541577
2018-03-03,,,9636.396385414462,9849.606317574731,14738.602819588727
2018-03-03,,,9713.826837916884,9975.04506756866,14690.864326137982
2018-03-05,,,23453.00987041561,23318.80831568863,24542.443803854858
2018-03-05,,,9681.2032314004,9619.362182489509,9965.454088805343
2018-03-05,,,7474.06574708511,7295.2090023110295,7343.351358639703
2018-03-06,23.21803608001552,,,,
2018-03-12,,,25438.382690055652,25414.5977513561,27056.367254161953
2018-03-12,,,29580.796965174093,29623.20267715134,30501.454275314565
2018-03-12,,,18486.617120970513,18427.41713758894,18895.228983174165
2018-03-12,,,17559.954351518343,17288.790630186,17740.56260073053
2018-03-12,,,28314.64371762905,28085.880047704282,29028.85034783958
2018-03-12,,,16087.348551950348,16094.06651157517,16599.129885280778
2018-03-12,,,19157.243771720743,19186.189903541766,19503.516106605377
2018-03-12,,,10628.582078562697,10511.002320082114,11527.424972330302
2018-03-12,,,7734.456156620299,7604.412154608349,7782.797364264131
2018-03-12,,,8991.019700684255,9327.068886530786,10522.999063266137
2018-03-14,,,7898.44405837387,7625.080264072272,7691.566018068103
2018-03-14,,,8853.143350258042,8621.33644508488,8836.20097615558
2018-03-14,,,17368.907154023313,17255.13483531229,21726.93582647848
2018-03-14,,,8659.313709892842,8435.053362959772,9387.618716038898
2018-03-19,,,9438.718124584122,9780.873163740594,14683.788299124735
2018-03-19,,,14799.94088138998,15293.00215295428,19717.56071055211
2018-03-21,,,34922.195099478406,34882.41517006592,34151.42835056379
2018-03-21,,,30645.146020562774,30718.552418370404,32112.303294892707
2018-03-21,,,16298.280429695717,16363.520693215021,17658.465160267227
2018-03-21,,,22370.223745102656,22363.650300150737,22405.30728402344
2018-03-21,,,25552.230435848214,25471.235060973653,26897.225818267652
2018-03-21,,,11065.343829981148,11157.639139599398,11756.038659624928
2018-03-28,,,32440.245619245594,32654.889330264316,33527.98055885553
2018-03-28,,,30172.166904238202,30300.839823170845,31490.93512267196
2018-03-28,,,13688.354648047989,14045.165136332978,18187.22028744496
2018-03-28,,,9595.612247367064,9418.006821333029,10758.473164836323
2018-03-28,,,9462.555459012276,9169.464360676386,10948.651569509748
2018-03-28,,,13217.301341377997,13235.845822260673,17316.628064439716
2018-03-28,,,28180.57226100475,28117.124727700833,28088.86541667577
2018-03-28,,,21773.340202735897,21954.079734612504,22558.980186113306
2018-03-28,,,19844.64621429127,19999.090246487744,21238.234347999452
2018-03-28,,,15666.976726289347,15823.571800485044,16482.49295785503
2018-03-28,,,12699.309740533421,13231.899927548024,14864.701091215567
2018-03-30,,,7497.781894830265,7205.073885067673,7203.236077213225
2018-03-30,,,7704.795370732686,7478.1035094722865,7735.349919565527
2018-03-30,,,9879.951922598832,9642.017766083809,16291.21003701555
2018-03-30,,,7832.54718076504,7603.225484732731,8539.404357604331
2018-04-04,,,9538.062628948694,9836.731053138323,14634.812663335011
2018-04-04,,,10400.384166603004,10673.184326818455,15433.426296941458
2018-04-06,,,8345.835196845757,8065.481904313539,8911.476549167299
2018-04-06,,,7570.65319612549,7273.047023864278,7323.69527021939
2018-04-06,,,14214.43363844864,14134.430197500524,18365.037529670662
2018-04-06,,,9065.15970619338,8839.651323341399,10437.549138860211
2018-04-06,,,8382.926425389114,8274.362669663666,8887.462074826548
2018-04-06,,,8871.455170811758,8605.723565134384,13252.645331038999
2018-04-06,,,7452.188535869966,7294.522723752054,7415.76065977059
2018-04-06,,,7451.903685838008,7293.894975662317,7396.808653528886
2018-04-13,,,11541.940812351368,11551.27379316115,18156.128003249658
2018-04-13,,,16752.068747914756,16823.30207177632,21367.079835536835
2018-04-13,,,20997.340031437845,21177.299359425335,24376.514723202683
2018-04-13,,,15138.171529889993,15103.317439250823,16114.610937461168
2018-04-13,,,11140.848561392218,11008.447668465567,13345.97117785084
2018-04-13,,,11701.393143459421,11662.126374571892,16520.44052622024
2018-04-13,,,7689.009541708763,7465.19464210733,7780.308173993895
2018-04-13,,,7906.388028156631,7714.168900897428,8195.595103519996
2018-04-13,,,8399.094161794634,8205.461926108628,9629.084968898176
2018-04-13,,,8922.980045412685,8777.684689366582,9174.899034377704
2018-04-13,,,10889.266096081561,11281.838194470287,12432.588322851929
2018-04-15,,,42084.11564356436,41689.60336633663,40020.49148514851
2018-04-15,,,17313.168816991267,17027.03639817718,17506.044043775713
2018-04-15,,,14178.709728099479,14322.24637072651,20014.88661436121
2018-04-15,,,12550.537754301515,12426.80546541619,13562.071921436942
2018-04-20,,,9367.929623851618,9222.534408042986,16111.516467325355
2018-04-20,,,9458.101773794917,9301.65067100023,16114.988145185016
2018-04-22,,,8351.048888763222,8030.531068414133,8999.529491602112
2018-04-22,,,7693.780693227001,7332.3918213445195,7308.759627118515
2018-04-22,,,10123.297385366739,9743.370782998134,16650.74258429911
